time,pressure,humidity,cloudiness,temperature,windSpeed,irradiance,irradianceReal,realPower,capacity
2023/1/11 0:00,1006.269,61.538,0,-4.213,3.441,,0,0,70
2023/1/11 0:15,1006.268,63.008,0,-4.186,3.611,,0,0,70
2023/1/11 0:30,1006.267,64.344,0,-4.161,3.67,,0,0,70
2023/1/11 0:45,1006.266,65.586,0,-4.137,3.719,,0,0,70
2023/1/11 1:00,1006.265,66.708,0,-4.12,3.689,,0,0,70
2023/1/11 1:15,1006.264,67.652,0,-4.116,3.554,,0,0,70
2023/1/11 1:30,1006.263,68.69,0,-4.119,3.427,,0,0,70
2023/1/11 1:45,1006.26,69.94,0,-4.128,3.375,,0,0,70
2023/1/11 2:00,1006.259,71.292,0,-4.128,3.369,,0,0,70
2023/1/11 2:15,1006.257,72.616,0,-4.12,3.288,,0,0,70
2023/1/11 2:30,1006.255,73.983,0,-4.121,3.224,,0,0,70
2023/1/11 2:45,1006.255,75.237,0,-4.119,3.187,,0,0,70
2023/1/11 3:00,1006.254,76.474,0,-4.136,2.984,,0,0,70
2023/1/11 3:15,1006.252,77.619,0,-4.168,2.685,,0,0,70
2023/1/11 3:30,1006.25,78.567,0,-4.188,2.513,,0,0,70
2023/1/11 3:45,1006.247,79.46,0,-4.198,2.423,,0,0,70
2023/1/11 4:00,1006.244,80.155,0,-4.192,2.275,,0,0,70
2023/1/11 4:15,1006.241,80.717,0,-4.194,2.185,,0,0,70
2023/1/11 4:30,1006.24,81.321,0,-4.213,2.267,,0,0,70
2023/1/11 4:45,1006.238,81.825,0,-4.223,2.36,,0,0,70
2023/1/11 5:00,1006.237,82.075,0,-4.22,2.408,,0,0,70
2023/1/11 5:15,1006.236,81.931,0,-4.202,2.381,,0,0,70
2023/1/11 5:30,1006.235,81.663,0,-4.173,2.309,,0,0,70
2023/1/11 5:45,1006.235,81.531,0,-4.14,2.273,,0,0,70
2023/1/11 6:00,1006.236,81.334,0.07,-4.112,2.335,,0,0,70
2023/1/11 6:15,1006.236,81.1,0.347,-4.055,2.297,,0,0,70
2023/1/11 6:30,1006.237,80.169,0.534,-3.982,2.18,,0,0,70
2023/1/11 6:45,1006.237,79.283,0.561,-3.92,2.1,,0,0,70
2023/1/11 7:00,1006.237,78.636,0.504,-3.874,2.069,,0,0,70
2023/1/11 7:15,1006.236,77.943,0.523,-3.835,1.969,,0,0,70
2023/1/11 7:30,1006.235,77.216,0.542,-3.811,1.89,,0,0,70
2023/1/11 7:45,1006.235,76.937,0.582,-3.825,1.952,,23.47886832,0.302036,70
2023/1/11 8:00,1006.235,77.18,0.545,-3.841,2.04,,34.65384264,1.37463,70
2023/1/11 8:15,1006.235,77.304,0.533,-3.782,2.11,,59.65983684,3.77475,70
2023/1/11 8:30,1006.236,76.394,0.461,-3.568,2.199,,155.4920809,12.9729,70
2023/1/11 8:45,1006.236,75.062,0.494,-3.376,2.181,,247.3480498,21.7894,70
2023/1/11 9:00,1006.236,73.661,0.459,-3.158,2.01,,316.5632648,28.4328,70
2023/1/11 9:15,1006.237,73.688,0.35,-2.941,2.141,,262.7384697,23.2666,70
2023/1/11 9:30,1006.24,74.127,0.246,-2.637,2.631,,191.2342787,16.4035,70
2023/1/11 9:45,1006.245,74.106,0.173,-2.288,3.236,,222.4610365,19.4007,70
